Dependent variable,Speaker age,Speaker sex,Addressee sex,Speaker/addressee familiarity,Channel of communication
Bye,21,M,F,In relationship,Phone
Have a great day,35,F,F,Professional unfamiliar ,Person
Have a great day bye,35,F,F,Professional unfamiliar ,Person
thanks bye,40,F,F,Prof un,Phone
thanks bye,23,m,F,Prof un,person
bye,19,f,m,unf,person
bye,19,f,f,family,person
bye,19,f,f,family,person
see ya,19,f,f,friends,person
alright bye,21,f,f,friends,person
okay bye,19,f,f,friends,person
See you,19,f,f,friends,person
Thanks bye,18,f,f,friends,person
thank you very much bye,50,f,m,prof un,phone
thank you,25,f,m,unf,phone
--,60,m,m,prof familiar,phone
alright bye,23,f,m,prof familiar,phone
alright thanks bye,25,f,m,prof un,phone
thank you so much bye,30,f,f,prof un,phone
thanks,55,f,m,prof familiar,phone
alright buh-bye,45,m,m,prof un,phone
allright thanks bye,50,m,f,unf,phone
okay bye,50,f,m,unf,phone
thanks bye,35,f,f,prof unf,phone
bye,30,f,f,prof familiar,phone
talk to you soon bye,20,m,m,prof unf,phone
okay bye,60,m,m,prof familiar,phone
okay thank you bye,60,f,f,familiar,phone
thanks,55,f,m,prof familiar,phone
alright let me know,25,f,m,prof familiar,phone
alright bye,25,m,m,prof f,phone
thanks bye ,30,f,m,prof unf,phone
bye,30,f,m,prof f,phone
thank you,55,f,m,prof f,phone
thanks bye,30,f,m,prof f,phone
thanks bye,30,f,m,prof f,phone
thank you,45,f,m,prof unf,phone
bye,42,f,f,family,phone
thank you and have an nice day,45,f,m,prof unf,phone
goodbye,21,m,f,relationship,phone
--,28,m,m,prof f,phone
thanks bye,30,f,f,prof unf,phone
bye,45,f,m,family,phone
goodbye,60,m,m,prof f,phone
bye,28,f,m,prof f,phone
thanks bye,40,m,m,prof unf,phone
ok bye,60,f,m,prof familiar,phone
thanks bye,30,f,f,prof unf,phone
bye,40,f,m,prof f`,phone
thanks bye,30,f,m,prof unf,phone
thanks bye,30,f,f,prof unf,phone
thanks bye,30,f,f,prof unf,phone
thanks bye,40,m,f,prof unf,phone
love you bye,19,f,m,relationship,phone
alright talk to you later bye,55,m,m,family,phone
thanks,40,f,f,prof unf,phone
okay bye,60,f,m,prof f,phone
thanks,30,m,m,prof unf,phone
thanks bye,65,m,m,prof f,phone
thanks bye,60,f,m,prof f,phone
okay bye,30,f,m,prof f,phone
--,20,m,m,prof f,phone
thanks buh bye,55,f,m,prof f,phone
have a good day buh bye,50,m,m,prof unf,phone
okay bye,12,f,m,friends,phone
have a good day,25,m,m,prof f,phone
ok bye,25,f,m,prof f,phone
ok bye,25,f,m,prof f ,phone
ok bye,25,f,m ,prof u,phone
thanks man bye,25,m,m,prof u,phone
thanks bye and have a good day,65,f,m,prof f,Phone
thanks darlin bye bye,55,f,m,prof f,phone
alright take care bye [name],25,f,m,prof f,Phone
thank you buh bye,30,f,m,prof unf,Phone
love you bye,45,f,m,family,Phone
thanks bye,35,m,m,prof unf,Phone
mkay bye,19,f,m,relationship,Phone
thank you bye,25,f,m,prof unf,Phone
buh bye,35,f,m,prof unf,Phone
Thank you buh bye,19,F,F,Family,Phone
Bye,19,F,F,Friends,Phone
See you soon,21,M,F,Friends,Phone
bye,18,f,f,friends,text
bye bye,17,f,f,friends,text
okay bye,19,f,f,friends ,text
bye,5,m,f,family,text
Alright bye ,18,F,F,Friends,Person
Bye,19,f,F,Friends,Person
Bye,20,F,F,Friends,Person
Bye,20,F,F,Friends,Person
bye,21,m,f,relationship,phone
see you soon,19,f,m,relationship,phone
buh bye,21,m,f,relationship,text
bye,19,f,m,relationship,text
thanks bye,5,m,f,family,phone
thanks bye,5,m,m,friends,phone
alright bye,25,m,m,prof familiar,phone
thank you,60,f,m,prof familiar,phone
thanks,19,f,f,prof f,person
bye,60,f,m,prof f,phone
bye,16,m,m,friends ,phone
thanks buh bye,16,m,m,friends ,phone
take it easy bye,50,m,m,prof familiar,phone
thank you so much  ,50,f,m,prof unf,phone
thanks a lot bye,50,m,m,prof familiar,phone
goodbye,19,f,m,In relationship,phone
bye,50,f,m,prof familiar,phone
talk to you later bye,50,f,m,prof familiar,phone
thanks honey bye,55,f,m,prof familiar,phone
bye,45,f,m,prof familiar,phone
thanks,30,f,m,prof unf,phone
alright ill talk to you later bye,25,f,m,prof unf,phone
bye,22,f,m,prof familiar,phone
thanks bye,25,f,m,prof familiar,phone
thanks,25,f,m,prof unf,phone
thanks,50,f,m,prof familiar,phone
thank you,20,m,m,friends,phone
okay bye,28,m,m,prof familiar,phone
bye,60,m,m,prof familiar,phone
love you bye,47,f,f,family,phone
love you bye,19,f,f,family,phone
bye,19,f,m,in relationship,phone
love you bye,21,m,f,in relationship,phone
bye,19,f,f,friends,person
see ya,21,f,f,friends,person
love you,19,f,m,in relationship,phone
--,21,m,f,in relationship,phone
bye mama,19,f,f,family,phone
see ya soon,21,f,f,friends,person
bye,19,f,f,friends,person
Bye thank you so much,21,F,F,Familiar,Person 
Thank you bye,21,F,F,Familiar,Person
Goodbye,21,m,F,Familiar,Person
okay thanks bye,19,f,m,family,phone
thanks bye,19,f,f,family,phone
goodbye,19,f,m,in relationship,phone
See you soon,21,f,f,friends,person
See you,19,f,f,friends,person
Bye,21,f,F,Friends,person
Bye,12,F,F,Friends,person